date,MAE
2026-07-01,0.0420598633622243
2026-07-02,0.05067842726029544
2026-07-03,0.043161793973388964
2026-07-04,0.044165090566550415
2026-07-05,0.05511188090242595
2026-07-06,0.038416469299063095
2026-07-07,0.1389493533033983
2026-07-08,0.05131053729923366
2026-07-09,0.047744788409414284
2026-07-10,0.03667364977637148
2026-07-11,0.053015914707794654
2026-07-12,0.04258740593804126
2026-07-13,0.04427653697178228
2026-07-14,0.046990333483581136
2026-07-15,0.055904675281849205
2026-07-16,0.059354590494967795
2026-07-17,0.054843781270904536
2026-07-18,0.11639009625552606
2026-07-19,0.39610534875164305
2026-07-20,0.04014712037010485
combined,0.07289438288392804
