date,MAE
2026-07-01,45.96306355794271
2026-07-02,47.03837087154389
2026-07-03,42.76480305989583
2026-07-04,33.44375116030375
2026-07-05,15.830026738539985
2026-07-06,12.125662704308828
2026-07-07,10.811699763933817
2026-07-08,12.83240732351939
2026-07-09,10.212281366189321
2026-07-10,7.114743900299072
2026-07-11,5.901230911413829
2026-07-12,6.376076797644298
2026-07-13,8.257190660635631
2026-07-14,11.645123518320423
2026-07-15,20.833305870493252
2026-07-16,46.59603106180827
2026-07-17,54.88110055923462
2026-07-18,39.721025180816646
2026-07-19,50.98088369369507
2026-07-20,59.61227190929154
combined,27.17067888913859
